"Country","ISO 3166-1 alpha-3","Year","Total","Coal","Oil","Gas","Cement","Flaring","Other"
"Afghanistan","AFG",2000,0.053581,0.000187,0.040309,0.011437,0.000523,0.001125,
"Afghanistan","AFG",2001,0.054300,0.003536,0.038708,0.010608,0.000332,0.001117,
"Afghanistan","AFG",2002,0.063856,0.002624,0.034639,0.026067,0.000525,0,
"Afghanistan","AFG",2003,0.068871,0.004054,0.043788,0.020596,0.000433,0,
"Afghanistan","AFG",2004,0.052529,0.003889,0.038579,0.009645,0.000416,0,
"Afghanistan","AFG",2005,0.077403,0.004353,0.059288,0.013509,0.000254,0,
"Afghanistan","AFG",2006,0.084869,0.006326,0.065126,0.012939,0.000479,0,
"Afghanistan","AFG",2007,0.108091,0.028856,0.066905,0.011882,0.000448,0,
"Afghanistan","AFG",2008,0.160989,0.040797,0.108375,0.011240,0.000577,0,
"Afghanistan","AFG",2009,0.233406,0.055289,0.167740,0.009906,0.000470,0,
"Afghanistan","AFG",2010,0.296733,0.079676,0.206923,0.009618,0.000516,0,
"Afghanistan","AFG",2011,0.404740,0.142931,0.250788,0.010523,0.000499,0,
"Afghanistan","AFG",2012,0.329389,0.102585,0.215752,0.010102,0.000950,0,
"Afghanistan","AFG",2013,0.293283,0.105478,0.177269,0.009409,0.001127,0,
"Afghanistan","AFG",2014,0.280299,0.113271,0.157862,0.008291,0.000876,0,
"Afghanistan","AFG",2015,0.290076,0.084236,0.196261,0.008358,0.001220,0,
"Afghanistan","AFG",2016,0.261795,0.083113,0.167284,0.009200,0.002198,0,
"Afghanistan","AFG",2017,0.276852,0.096731,0.170436,0.008429,0.001256,0,
"Afghanistan","AFG",2018,0.294876,0.104866,0.180470,0.007990,0.001550,0,
"Afghanistan","AFG",2019,0.293401,0.104708,0.181177,0.006502,0.001015,0,
"Afghanistan","AFG",2020,0.299746,0.106488,0.185254,0.006447,0.001557,0,
"Albania","ALB",2000,0.950630,0.021851,0.892452,0.006900,0.029427,0,
"Albania","ALB",2001,1.021259,0.025561,0.991052,0.004647,0,0,
"Albania","ALB",2002,1.200003,0.026980,1.164813,0.008211,0,0,
"Albania","ALB",2003,1.391371,0.027246,1.258060,0.008292,0.097773,0,
"Albania","ALB",2004,1.363761,0.027516,1.227466,0.010767,0.098012,0,
"Albania","ALB",2005,1.405185,0.024143,1.289223,0.007243,0.084577,0,
"Albania","ALB",2006,1.302102,0.024376,1.178574,0.007313,0.091839,0,
"Albania","ALB",2007,1.326901,0.024599,1.134033,0.011070,0.157199,0,
"Albania","ALB",2008,1.489670,0.034757,1.286011,0.004965,0.163937,0,
"Albania","ALB",2009,1.503665,0.132530,1.165262,0.006251,0.199622,0,
"Albania","ALB",2010,1.642022,0.147144,1.198529,0.008803,0.287546,0,
"Albania","ALB",2011,1.832234,0.184422,1.301058,0.010105,0.336648,0,
"Albania","ALB",2012,1.676949,0.216633,1.090765,0.010135,0.359416,0,
"Albania","ALB",2013,1.831465,0.275402,1.153640,0.011422,0.390923,0.000078,
"Albania","ALB",2014,2.080252,0.356753,1.336873,0.020313,0.362296,0.004015,
"Albania","ALB",2015,1.634751,0.111859,1.157997,0.021609,0.331004,0.012281,
"Albania","ALB",2016,1.607732,0.066131,1.166197,0.055957,0.305606,0.013840,
"Albania","ALB",2017,1.932429,0.095372,1.416589,0.058495,0.351291,0.010682,
"Albania","ALB",2018,1.732368,0.164287,1.157651,0.052215,0.353399,0.004816,
"Albania","ALB",2019,1.721533,0.112194,1.197159,0.045897,0.364726,0.001557,
"Albania","ALB",2020,1.649392,0.115611,1.122339,0.045757,0.365620,0.000066,
"Algeria","DZA",2000,2.671715,0.063697,0.871751,1.252145,0.123135,0.360987,
"Algeria","DZA",2001,2.685178,0.067171,0.912096,1.315006,0.120694,0.270211,
"Algeria","DZA",2002,2.827124,0.082491,0.932664,1.411971,0.128309,0.271689,
"Algeria","DZA",2003,2.840302,0.086983,0.996471,1.373434,0.125782,0.257633,
"Algeria","DZA",2004,2.702333,0.059169,1.009482,1.267572,0.150622,0.215488,
"Algeria","DZA",2005,3.230690,0.071709,0.942218,1.857310,0.171787,0.187665,
"Algeria","DZA",2006,2.996938,0.080765,1.053774,1.474692,0.195604,0.192103,
"Algeria","DZA",2007,3.189810,0.088625,1.127647,1.502955,0.206002,0.264580,
"Algeria","DZA",2008,3.153985,0.087020,1.080807,1.491211,0.219366,0.275581,
"Algeria","DZA",2009,3.414727,0.045285,1.275465,1.559666,0.233559,0.300752,
"Algeria","DZA",2010,3.285695,0.033927,1.265199,1.488379,0.230149,0.268041,
"Algeria","DZA",2011,3.278487,0.028675,1.283941,1.552138,0.224040,0.189694,
"Algeria","DZA",2012,3.641230,0.027828,1.302698,1.720706,0.206563,0.383434,
"Algeria","DZA",2013,3.704844,0.019091,1.366264,1.722341,0.192061,0.405087,
"Algeria","DZA",2014,3.903048,0.014085,1.364411,1.904826,0.197829,0.421898,
"Algeria","DZA",2015,4.048424,0.012694,1.405811,1.991967,0.203879,0.434072,
"Algeria","DZA",2016,3.935325,0,1.354177,1.950381,0.232325,0.398442,
"Algeria","DZA",2017,4.045341,0.019328,1.344500,2.001920,0.277278,0.402316,
"Algeria","DZA",2018,4.147961,0.031722,1.309946,2.120033,0.295315,0.390946,
"Algeria","DZA",2019,4.203332,0.025653,1.385251,2.136732,0.258235,0.397461,
"Algeria","DZA",2020,3.970031,0.025282,1.255190,2.032334,0.253800,0.403426,
"Andorra","AND",2000,7.927016,0,7.927016,0,0,0,
"Andorra","AND",2001,7.725627,0,7.725627,0,0,0,
"Andorra","AND",2002,7.498765,0,7.498765,0,0,0,
"Andorra","AND",2003,7.238069,0,7.238069,0,0,0,
"Andorra","AND",2004,7.286756,0,7.286756,0,0,0,
"Andorra","AND",2005,7.206274,0,7.206274,0,0,0,
"Andorra","AND",2006,6.805400,0,6.805400,0,0,0,
"Andorra","AND",2007,6.890390,0,6.890390,0,0,0,
"Andorra","AND",2008,7.081822,0,7.081822,0,0,0,
"Andorra","AND",2009,6.995396,0,6.995396,0,0,0,
"Andorra","AND",2010,7.223591,0,7.223591,0,0,0,
"Andorra","AND",2011,6.957586,0,6.957586,0,0,0,
"Andorra","AND",2012,6.862293,0,6.862293,0,0,0,
"Andorra","AND",2013,6.674233,0,6.674233,0,0,0,
"Andorra","AND",2014,6.445931,0,6.445931,0,0,0,
"Andorra","AND",2015,6.485769,0,6.485769,0,0,0,
"Andorra","AND",2016,6.465288,0,6.465288,0,0,0,
"Andorra","AND",2017,6.302098,0,6.302098,0,0,0,
"Andorra","AND",2018,6.594057,0,6.594057,0,0,0,
"Andorra","AND",2019,6.287204,0,6.287204,0,0,0,
"Andorra","AND",2020,5.777148,0,5.777148,0,0,0,
